"Store","WeekDate","Temperature","FuelPrice","CPI","UnemploymentRate"
17,"2010-10-08",58.06,2.841,126.2791667,6.885
26,"2012-08-31",63.69,3.884,138.3771935,7.405
33,"2010-04-30",73.29,3.105,126.3805667,9.849
31,"2010-07-09",81.67,2.642,210.7657317,8.099
45,"2010-05-07",70.75,2.966,181.6468154,8.899
5,"2010-09-24",78.53,2.624,212.1519404,6.496
8,"2011-05-13",72.96,3.899,219.4159857,6.297
42,"2010-02-05",54.34,2.962,126.4420645,9.765
5,"2012-03-23",64.44,3.787,221.8735063,5.943
38,"2012-01-27",50.43,3.675,130.3144516,12.187
12,"2011-02-18",53.35,3.43,127.99525,14.021
26,"2011-10-14",53.91,3.583,136.5150968,7.598
7,"2012-07-06",64.67,3.646,197.8322195,7.872
23,"2010-10-01",62.07,2.717,132.7568,5.287
44,"2012-10-05",61.79,3.815,131.0756667,5.217
44,"2011-08-12",75.95,3.606,129.2015806,6.56
18,"2011-08-19",69.24,3.82,136.183129,8.89
1,"2011-01-07",48.27,2.976,211.4047419,7.742
8,"2010-06-18",78.79,2.637,214.8324452,6.29
44,"2010-11-05",49.96,2.831,126.4912903,7.61
7,"2010-08-13",60.13,2.723,190.2611552,9.017
16,"2012-09-07",60.09,3.596,198.0950484,6.061
32,"2012-04-06",51.49,3.854,197.5971285,8.09
14,"2012-08-24",72.62,3.834,191.3448865,8.684
16,"2011-09-30",57.61,3.538,194.8779718,6.338
1,"2010-06-04",80.69,2.705,211.1764278,7.808
3,"2012-05-04",79.51,3.749,225.1797511,6.664
44,"2010-04-02",42.15,2.842,126.6034839,7.972
34,"2011-10-14",54.72,3.283,129.7706452,10.148
30,"2011-05-13",75.04,3.899,215.6124735,7.931
37,"2010-12-17",56.73,2.869,210.1787224,8.476
11,"2010-02-05",46.04,2.572,214.4248812,7.368
17,"2012-02-10",23.63,3.116,130.3849032,6.403
16,"2011-10-28",41.97,3.55,195.3318977,6.232
43,"2011-05-27",80.89,3.786,207.3119816,10.581
4,"2011-09-09",73.34,3.554,129.3686129,5.644
44,"2011-02-18",40.85,3.062,127.99525,7.224
34,"2011-05-06",54.4,3.866,129.0444333,10.581
1,"2010-07-09",80.48,2.642,211.108414,7.787
6,"2011-10-28",69.51,3.372,219.237049,6.551
28,"2010-04-09",59.25,3.09,126.6019032,14.099
24,"2011-10-07",53.87,3.775,136.472,8.454
34,"2012-04-27",66.49,3.81,131.1266667,9.575
5,"2011-03-25",70.71,3.473,215.1640872,6.634
10,"2010-07-30",85.03,3.017,126.1069032,9.199
17,"2010-07-23",69.66,2.797,126.1283548,6.697
2,"2010-08-27",87.12,2.619,211.2241759,8.099
25,"2010-06-04",69.22,2.847,204.4042877,7.856
27,"2012-07-27",76.01,3.82,142.2126924,8.239
27,"2011-04-29",61.71,4.117,138.3303119,7.725
38,"2011-11-18",54.2,3.813,129.8268333,12.89
28,"2011-04-29",68.27,4.151,128.9998667,13.736
43,"2010-04-02",62.19,2.719,202.83803,9.593
19,"2010-05-07",62.54,3.095,132.1062,8.185
23,"2012-06-08",56.82,3.746,138.1174194,4.125
11,"2011-01-14",45.34,2.983,214.7470729,7.551
1,"2012-09-14",74.97,3.717,222.5820193,6.908
31,"2010-07-30",83.59,2.64,211.0264684,8.099
3,"2011-03-25",72.94,3.473,217.9674705,7.551
7,"2011-09-16",43.67,3.596,194.7419707,8.622
41,"2012-10-05",50.14,3.779,198.8221322,6.195
33,"2010-12-31",52.91,3.148,127.0876774,9.265
17,"2012-03-02",26.28,3.242,130.6457931,6.403
